station_id,latitude,longitude
5,41.87395806,-87.62773949
13,41.93250008,-87.65268082
14,41.85808600,-87.65107300
15,41.85818061,-87.65648665
16,41.91032900,-87.67251600
17,41.90332000,-87.67273000
19,41.86941700,-87.66099600
20,41.90959193,-87.65349723
21,41.87772613,-87.65478743
22,41.86948210,-87.65548640
23,41.90292400,-87.63771500
24,41.89186000,-87.62062000
25,41.89766000,-87.62351000
26,41.89102000,-87.61730000
27,41.91021000,-87.64350000
28,41.91468000,-87.64332000
29,41.90068000,-87.66260000
30,41.89964300,-87.66770000
31,41.89680204,-87.63563839
32,41.87464000,-87.65703000
33,41.87718100,-87.62784400
34,41.92675599,-87.63442878
35,41.89107100,-87.61220000
36,41.87770796,-87.63532114
37,41.87935636,-87.62979104
42,41.85323876,-87.62533709
43,41.88389277,-87.62464914
44,41.88473020,-87.62773357
45,41.87606560,-87.62443336
46,41.89993001,-87.63443007
47,41.88918000,-87.62770000
48,41.89776400,-87.64288400
49,41.88131982,-87.62952092
50,41.87593267,-87.63058454
51,41.88457623,-87.63188991
52,41.88605812,-87.62428934
53,41.89383200,-87.63419500
54,41.89636246,-87.65406127
55,41.86586100,-87.64661100
56,41.88871604,-87.64444785
57,41.86711778,-87.64108796
58,41.91785887,-87.66891900
59,41.86717300,-87.62595501
60,41.91057803,-87.64942193
61,41.90765500,-87.67255200
62,41.85137517,-87.61883465
66,41.88583274,-87.64138231
67,41.92560188,-87.65370804
68,41.87588500,-87.64079500
69,41.90939601,-87.67769193
71,41.88548331,-87.65230486
72,41.86012138,-87.62772919
73,41.88042200,-87.64274600
74,41.89384315,-87.64185116
75,41.87811421,-87.63997112
76,41.88105000,-87.61697000
77,41.88158240,-87.64127743
80,41.88148700,-87.65475200
81,41.88433700,-87.63018300
84,41.89173300,-87.64872700
85,41.90096039,-87.62377664
86,41.89637337,-87.66098386
87,41.92556258,-87.65840426
88,41.88397000,-87.65568800
90,41.88103170,-87.62408432
91,41.88338000,-87.64117000
92,41.89455600,-87.65344900
93,41.91368800,-87.65285500
94,41.91827300,-87.63811600
97,41.86521200,-87.61775900
98,41.88266400,-87.63253000
99,41.89257000,-87.61449200
100,41.88824300,-87.63639000
106,41.89744800,-87.62872200
108,41.87184000,-87.64664000
109,41.87450000,-87.64980000
110,41.89397500,-87.62862300
111,41.89466600,-87.63843700
112,41.88407800,-87.64868400
113,41.91844000,-87.65222000
114,41.94688000,-87.65445000
115,41.93625300,-87.65356600
116,41.91553300,-87.68705100
117,41.94018000,-87.65304000
118,41.91057900,-87.63861800
119,41.88541000,-87.66732000
120,41.85456400,-87.63193700
121,41.80256200,-87.59036800
122,41.87501000,-87.67328000
123,41.92269500,-87.69715300
124,41.85504800,-87.67572600
126,41.91179100,-87.63184100
127,41.92590500,-87.64926000
128,41.89576900,-87.67722000
129,41.85755600,-87.66153500
130,41.90331000,-87.67695000
131,41.93936500,-87.66838500
132,41.84923700,-87.63171500
134,41.87774900,-87.64963300
135,41.85378000,-87.64665000
136,41.86505400,-87.65695900
137,41.86237800,-87.65106200
138,41.90450900,-87.64050000
140,41.89900700,-87.62992800
141,41.91568900,-87.63460000
143,41.92197000,-87.63854000
144,41.92175000,-87.64401000
146,41.87794500,-87.66200700
147,41.84570000,-87.62248000
148,41.83473400,-87.62581300
149,41.83490000,-87.61793000
150,41.83855600,-87.60821800
152,41.93222500,-87.65861700
153,41.93584000,-87.66370000
154,41.93949000,-87.66378000
156,41.93649682,-87.64753866
157,41.93666900,-87.63679400
158,41.91261600,-87.68139100
159,41.90778100,-87.68585400
160,41.91053500,-87.68955600
162,41.93588000,-87.67842000
163,41.93186000,-87.67079000
164,41.88583700,-87.63550000
165,41.94893000,-87.65775000
166,41.92883000,-87.66850700
167,41.84920000,-87.67564000
168,41.86405900,-87.62372700
169,41.87433700,-87.63956600
170,41.85795000,-87.64082600
171,41.85513600,-87.65412700
173,41.89691000,-87.62174300
174,41.88209100,-87.63983300
175,41.87237300,-87.63352300
176,41.90323300,-87.63125300
