gender,age,month,dow,hod,station_id,distance,duration,speed
0,3,2,5,4,134,2,0,4
1,1,2,0,7,134,2,0,5
0,2,2,4,6,134,2,0,5
1,1,2,5,7,134,2,1,3
1,1,2,5,7,134,2,0,5
0,1,2,5,7,134,2,0,5
0,2,2,1,4,134,2,0,4
0,1,2,4,5,134,2,0,5
0,1,2,2,6,134,2,0,5
0,1,2,3,5,134,2,0,5
0,1,2,4,5,134,2,0,5
0,1,2,3,5,134,2,0,5
0,1,2,5,5,134,2,0,5
0,2,2,2,5,135,3,1,4
1,2,2,6,7,136,3,1,4
0,3,2,6,7,136,3,1,4
1,3,2,3,3,140,2,1,3
0,2,2,3,3,140,2,1,3
0,3,1,1,3,141,3,0,6
0,1,2,2,6,143,4,3,3
0,1,2,2,7,144,4,1,6
1,3,2,1,5,146,2,1,3
0,2,2,3,7,146,2,1,4
1,3,2,5,6,147,3,2,3
1,3,2,0,4,147,3,1,5
0,1,2,5,5,152,4,3,4
0,1,2,5,6,157,5,1,6
0,2,2,4,6,158,4,2,5
0,2,2,3,7,168,2,1,3
0,2,2,4,7,168,2,1,3
0,4,2,2,6,168,2,1,2
0,1,2,1,6,168,2,0,4
0,2,2,5,5,168,2,1,3
0,2,2,4,4,168,2,0,4
0,6,2,5,5,168,2,1,2
0,2,2,2,6,169,1,0,4
1,2,1,3,4,169,1,1,2
1,2,2,3,6,173,2,1,4
0,2,2,1,5,174,1,0,3
0,3,2,2,5,174,1,0,4
0,3,2,3,7,174,1,0,5
0,3,2,4,5,174,1,1,3
0,3,2,5,6,174,1,0,5
1,3,2,2,5,174,1,0,4
0,3,2,3,7,174,1,0,5
1,3,2,2,5,174,1,0,3
1,3,2,3,5,174,1,0,4
1,3,2,4,5,174,1,0,4
0,3,2,4,5,174,1,0,4
1,3,2,1,5,174,1,0,5
0,3,2,2,2,174,1,0,4
1,3,2,5,5,174,1,0,3
0,2,2,2,5,174,1,1,3
1,3,2,1,6,174,1,0,4
0,2,2,1,5,174,1,0,3
0,3,2,5,2,174,1,0,6
1,1,2,6,4,175,1,0,3
0,2,2,6,5,175,1,0,3
1,1,2,4,6,175,1,0,4
0,2,2,1,6,175,1,0,3
0,1,2,5,4,175,1,1,1
1,1,2,1,6,175,1,0,4
0,1,2,5,4,175,1,1,1
0,1,2,3,5,175,1,0,4
0,4,2,5,6,178,2,2,2
1,1,1,3,6,178,2,1,3
0,2,1,3,6,178,2,1,5
1,1,1,2,6,178,2,1,3
0,2,1,3,6,178,2,1,4
0,1,1,2,3,178,2,1,4
0,2,1,2,5,178,2,1,5
0,4,1,2,5,178,2,1,4
1,3,2,3,5,179,4,0,6
0,4,2,5,5,179,4,0,6
0,4,1,5,5,179,4,0,6
0,1,2,5,4,179,4,0,6
0,2,1,2,4,179,4,4,1
1,4,2,2,5,179,4,0,6
1,4,2,1,5,179,4,1,6
0,2,2,4,5,181,2,1,3
1,1,1,0,4,181,2,0,4
0,3,1,5,2,181,2,1,4
0,2,2,4,4,181,2,0,4
1,1,2,4,6,181,2,0,4
1,3,2,5,5,184,4,2,5
0,1,2,3,6,186,4,1,5
0,2,2,4,4,191,1,0,4
0,2,2,4,6,192,1,0,4
1,3,2,4,3,192,1,0,3
0,2,2,4,5,193,3,1,4
1,2,2,6,6,194,1,2,1
0,2,2,5,5,194,1,0,4
0,2,2,6,6,194,1,2,1
0,3,2,3,4,194,1,0,3
1,1,2,5,7,198,2,2,2
0,4,2,5,4,198,2,1,3
0,2,2,1,5,199,2,1,4
0,3,2,1,5,199,2,0,6
0,2,2,2,6,199,2,1,3
0,2,2,2,5,199,2,1,3
0,6,2,5,4,205,4,2,5
0,6,2,5,4,205,4,2,5
0,6,2,5,4,205,4,2,5
0,6,2,3,5,205,4,2,5
0,6,2,4,4,205,4,2,5
0,6,2,4,6,205,4,2,4
0,3,2,1,6,210,4,1,5
0,2,2,5,6,210,4,2,4
1,1,2,4,6,212,2,0,5
0,1,1,3,2,232,5,1,6
0,1,1,6,3,232,5,0,6
0,2,1,3,5,249,5,0,6
0,2,1,4,3,249,5,1,6
0,1,1,6,3,249,5,0,6
0,2,1,2,6,251,5,1,6
0,2,2,5,6,252,5,1,6
1,2,2,6,6,255,1,1,2
1,2,0,6,4,262,4,0,6
1,1,2,2,2,311,5,1,6
0,3,1,1,2,328,5,0,6
1,3,2,4,4,328,5,2,6
0,3,1,4,3,328,5,0,6
1,4,2,3,5,330,5,1,6
0,1,2,6,5,330,5,0,6
1,3,1,5,3,340,4,0,6
0,4,1,3,3,340,4,2,5
0,2,1,0,7,340,4,0,6
1,1,1,2,3,350,4,0,6
0,1,2,5,7,5,5,3,3
0,2,1,0,3,5,5,3,5
0,1,2,4,6,13,2,1,4
0,1,1,6,6,13,2,1,4
0,1,2,6,6,13,2,2,2
0,1,1,6,5,13,2,1,3
1,2,2,1,5,13,2,1,4
0,2,1,3,3,13,2,1,5
0,1,1,2,6,13,2,0,6
0,1,1,1,5,13,2,1,5
0,3,1,3,7,13,2,1,5
0,1,1,6,6,13,2,0,6
0,1,1,5,6,13,2,1,3
0,1,1,0,6,13,2,2,2
0,3,1,0,4,13,2,2,2
0,5,1,3,7,13,2,1,3
0,3,1,6,7,13,2,1,4
0,1,1,3,7,13,2,2,2
0,1,1,1,5,13,2,1,3
1,1,2,3,6,13,2,1,4
0,1,2,4,6,13,2,0,5
1,1,2,6,6,13,2,2,2
1,1,1,1,6,13,2,1,4
1,1,2,5,6,13,2,1,4
1,1,1,5,6,13,2,1,3
1,1,1,0,4,13,2,1,4
1,1,1,6,5,13,2,1,4
1,1,1,5,3,13,2,1,4
1,1,1,3,4,13,2,1,4
1,2,1,4,5,13,2,0,5
0,1,1,0,3,16,3,3,3
0,1,1,6,6,20,3,1,3
0,2,2,6,7,20,3,1,4
0,1,1,1,6,23,2,1,4
1,1,2,5,4,24,4,2,4
0,3,1,6,2,24,4,2,4
0,2,2,5,7,24,4,3,3
1,2,2,2,4,24,4,1,5
0,2,2,6,5,24,4,2,5
0,1,1,4,6,24,4,2,4
0,2,2,6,5,24,4,2,4
0,3,1,3,6,24,4,2,4
0,2,2,3,5,24,4,2,4
0,1,1,2,2,25,3,1,4
0,2,2,6,7,25,3,1,4
0,1,1,3,3,25,3,1,4
0,3,2,0,4,25,3,2,3
0,1,1,4,1,25,3,1,4
0,1,2,0,3,25,3,2,3
0,1,1,4,3,25,3,1,4
1,1,1,5,5,25,3,3,2
0,1,1,3,2,25,3,1,4
0,1,1,1,2,25,3,1,4
0,1,1,5,3,25,3,1,4
1,2,1,6,5,25,3,2,2
0,1,1,5,5,25,3,3,2
1,1,1,6,4,25,3,1,4
0,2,1,6,5,25,3,2,2
1,2,1,3,5,25,3,1,3
0,1,1,6,3,25,3,1,3
1,2,2,0,4,25,3,2,2
0,2,1,0,4,25,3,2,3
1,1,1,3,5,25,3,1,4
0,1,0,5,2,25,3,2,3
1,2,1,0,4,25,3,2,3
0,1,1,2,2,25,3,1,4
0,1,1,5,2,25,3,1,3
0,1,1,3,2,25,3,1,5
1,1,2,4,6,25,3,1,4
0,1,1,2,2,25,3,1,4
0,1,1,1,3,25,3,1,4
0,4,1,2,4,25,3,2,3
0,2,1,2,7,26,4,1,5
0,3,2,1,3,26,4,2,4
0,2,1,2,7,26,4,2,4
0,1,1,6,3,26,4,2,4
0,1,1,4,4,26,4,2,5
1,2,1,6,5,26,4,2,4
0,2,1,5,6,26,4,1,5
1,1,1,2,4,26,4,2,5
0,2,1,6,3,26,4,2,5
1,1,2,0,3,26,4,1,5
0,1,1,0,5,26,4,2,3
1,1,1,6,6,26,4,3,2
0,1,1,6,2,27,2,1,3
0,1,2,6,5,27,2,1,4
0,3,1,0,5,27,2,1,3
0,1,2,0,5,27,2,1,3
0,1,1,1,7,27,2,1,3
0,5,1,0,5,27,2,2,2
0,1,1,5,7,27,2,1,3
0,2,1,1,7,27,2,2,2
1,1,1,4,4,28,2,1,3
0,2,1,0,0,28,2,1,2
0,2,2,5,6,28,2,1,4
0,1,1,0,5,28,2,3,1
0,2,2,4,6,31,3,2,3
0,3,1,1,6,31,3,2,3
1,2,1,4,4,33,4,2,4
0,3,1,6,7,34,0,4,0
0,4,1,1,6,34,0,2,0
0,2,1,1,5,34,0,1,0
1,3,1,1,4,34,0,1,0
0,1,1,5,6,34,0,2,0
1,2,1,6,3,34,0,2,0
0,1,1,4,6,34,0,4,0
0,1,1,4,5,34,0,2,0
0,2,1,6,4,34,0,2,0
1,1,1,2,7,34,0,2,0
